ward_spatial,longitude,latitude
24,-87.72644981,41.85646528
24,-87.70565114,41.85346456
24,-87.70509905,41.86761299
28,-87.72717779,41.87948445
32,-87.66223186,41.91139328
29,-87.76343038,41.87900909
15,-87.66083998,41.81141559
20,-87.6534674,41.80006548
23,-87.71315431,41.77633361
16,-87.67479876,41.7802601
16,-87.65042187,41.77621221
16,-87.66312593,41.77128263
17,-87.66248737,41.76830718
6,-87.61264682,41.77185083
20,-87.61238905,41.78414082
20,-87.62890519,41.79262906
16,-87.6622815,41.78515851
16,-87.6530972,41.78577725
16,-87.64703336,41.78639436
8,-87.59879154,41.75198575
17,-87.64217316,41.75864721
17,-87.67137606,41.76172165
8,-87.60625295,41.73597691
9,-87.61965751,41.70513759
29,-87.76786563,41.88644145
37,-87.74899183,41.89018268
24,-87.71965311,41.85683502
28,-87.68623179,41.86149357
25,-87.70277396,41.83890097
27,-87.70243509,41.88612275
27,-87.69682093,41.88513533
28,-87.70284357,41.87124714
1,-87.67001646,41.89574964
27,-87.6504434,41.89467495
4,-87.62666751,41.87676591
27,-87.65817665,41.8880064
3,-87.6273169,41.84462182
22,-87.74175318,41.81400992
18,-87.6907632,41.75824319
3,-87.62869555,41.81514314
20,-87.65292866,41.79912375
20,-87.64857406,41.7988294
16,-87.65085486,41.79453686
23,-87.71407248,41.7745058
15,-87.66852598,41.79155824
16,-87.67187452,41.78086806
15,-87.66861186,41.77428402
